   Loading spin-up weather data from file historical_climate.csv ...
   Converting raw data from text file: historical_climate.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2016, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2016, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2017, actualYearUsed=1965.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2017, actualYear = 1965, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2018, actualYearUsed=1966.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2018, actualYear = 1966, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2019, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2019, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2020, actualYearUsed=1961.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2020, actualYear = 1961, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2021, actualYearUsed=1993.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2021, actualYear = 1993, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2022, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2022, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2023, actualYearUsed=1963.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2023, actualYear = 1963, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2024, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2024, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2025, actualYearUsed=1994.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2025, actualYear = 1994, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2026, actualYearUsed=1961.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2026, actualYear = 1961, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2027, actualYearUsed=1997.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2027, actualYear = 1997, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2028, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2028, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2029, actualYearUsed=2001.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2029, actualYear = 2001, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2030, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2030, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2031, actualYearUsed=1956.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2031, actualYear = 1956, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2032, actualYearUsed=1961.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2032, actualYear = 1961, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2033, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2033, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2034, actualYearUsed=1953.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2034, actualYear = 1953, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2035, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2035, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2036, actualYearUsed=1966.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2036, actualYear = 1966, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2037, actualYearUsed=2005.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2037, actualYear = 2005, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2038, actualYearUsed=1953.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2038, actualYear = 1953, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2039, actualYearUsed=1962.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2039, actualYear = 1962, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2040, actualYearUsed=1981.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2040, actualYear = 1981, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2041, actualYearUsed=1989.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2041, actualYear = 1989, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2042, actualYearUsed=1960.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2042, actualYear = 1960, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2043, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2043, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2044, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2044, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2045, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2045, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2046, actualYearUsed=1965.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2046, actualYear = 1965, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2047, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2047, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2048, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2048, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2049, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2049, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2050, actualYearUsed=1956.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2050, actualYear = 1956, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2051, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2051, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2052, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2052, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2053, actualYearUsed=1961.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2053, actualYear = 1961, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2054, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2054, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2055, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2055, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2056, actualYearUsed=1958.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2056, actualYear = 1958, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2057, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2057, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2058, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2058, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2059, actualYearUsed=1953.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2059, actualYear = 1953, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2060, actualYearUsed=1995.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2060, actualYear = 1995, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2061, actualYearUsed=1999.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2061, actualYear = 1999, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2062, actualYearUsed=2004.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2062, actualYear = 2004, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2063, actualYearUsed=2003.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2063, actualYear = 2003, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2064, actualYearUsed=1991.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2064, actualYear = 1991, phase = SpinUp_Climate.
