Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
10, eco1, 1, 457557, 60.1, 4376.5, 7947.3, 226.9, 64.1, 40.9, 127.1, 0.82, 259.2, 5, 192.9, 134.6, 3534.9, 638.4, 3177.7, 670.4, 25.9, 50.7, 26.2, 31.3, 791.2, 487.3, 1918.8, 1179.2, 3.9, 2.5, 9.1, 3.3, 8.2, 3.3, 0.1, 1.3, 0.1, 1.1, 5.4, 30.7, 50.4, 139, 0, -0.2, 0, 0.1, 0.7, 1.6, -1.5, 0.1, 0.05, 0.64, 0.17, 11.6, 0.1, 1.2, 0.3, 229, 0.01, 0, 
10, eco2, 2, 903912, -250.9, 2285.3, 15121, 435.7, 122.7, 78.6, 269.4, 0.25, 122.1, 3.4, 371.5, 259.3, 6731.4, 1230.2, 2666.9, 757.9, 46.2, 79.6, 41.8, 47.8, 686.1, 314.7, 967.8, 316.8, 7.8, 5.2, 16.5, 6.1, 6.9, 3.7, 0.2, 2.2, 0.2, 1.8, 6.4, 12.3, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.8, 0.6, -0.8, 0, 0.05, 0.82, 0.09, 5.4, 0, 1.1, 0.7, 76, 0, 0, 
10, eco3, 3, 540517, -368.9, 2404.9, 17747.8, 497, 139.8, 92.7, 310.8, 0.2, 161.1, 3.7, 436.2, 304.5, 7901.6, 1455, 2245, 698.3, 54.9, 94, 48.5, 56.4, 557.6, 319.4, 1006.6, 521.3, 9.1, 6, 19.4, 7.1, 5.9, 3.4, 0.3, 2.6, 0.2, 2.1, 7, 13.3, 23, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.6, -0.3, 0, 0.05, 1.28, 0.12, 1.2, 0, 1.6, 0.9, 110.1, 0, 0, 
11, eco1, 1, 457557, 36.5, 4489, 7934.3, 266.5, 74.6, 41.9, 128.2, 0.81, 259.8, 5.5, 200.9, 140.1, 3526.9, 637.5, 3010.8, 646.2, 25.1, 50.9, 24.8, 30.1, 827.3, 522.3, 1960.2, 1179.3, 4, 2.6, 9.1, 3.3, 7.7, 3.2, 0.1, 1.3, 0.1, 1.1, 5.7, 32.9, 48.9, 139, 0, -0.2, 0, 0.1, 0.8, 1.9, -1.8, 0.1, 0.05, 0.43, 0.11, 5.2, 0, 1.3, 0.3, 230, 0.01, 0, 
11, eco2, 2, 903912, -226.4, 2452.2, 14217.3, 449, 125.8, 74.8, 255.4, 0.29, 123, 3.8, 359.8, 250.9, 6318, 1155.1, 2904.1, 762, 44.6, 79.6, 44, 50.7, 730.3, 351.9, 1053, 317, 7.6, 5, 15.5, 5.8, 7.5, 3.7, 0.2, 2.2, 0.2, 1.9, 6.8, 13.7, 15.4, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.9, 0, 0.05, 0.64, 0.07, 66.4, 0.5, 1.1, 0.7, 78, 0, 0, 
11, eco3, 3, 540517, -441.1, 2558.6, 18014.4, 573.5, 160.9, 94.9, 326.7, 0.21, 164.2, 4.1, 456.5, 318.4, 8004.3, 1474.9, 2353.7, 705.6, 55.8, 98.7, 50, 58.6, 615.1, 353.4, 1068.8, 521.4, 9.6, 6.3, 19.7, 7.2, 6.2, 3.4, 0.3, 2.7, 0.3, 2.2, 7.7, 14.5, 22.7, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.4, 0, 0.05, 1.08, 0.1, 1.7, 0, 1.7, 0.9, 111.8, 0, 0, 
12, eco1, 1, 457557, 6.9, 4576.8, 7749.2, 248.2, 70.2, 42, 124, 0.85, 260.1, 4.8, 199.4, 139.2, 3439.6, 622.8, 2939.3, 631, 26.3, 53.1, 26, 31.4, 851, 551, 1995.4, 1179.4, 4, 2.5, 8.9, 3.2, 7.6, 3.1, 0.1, 1.4, 0.1, 1.1, 5.9, 34.6, 47.8, 139, 0, -0.2, 0, 0.1, 0.7, 1.7, -1.6, 0, 0.05, 0.62, 0.14, 8, 0.1, 1.1, 0.3, 230.9, 0.01, 0, 
12, eco2, 2, 903912, -203.4, 2607, 13370.1, 413.9, 117.2, 72.4, 237.6, 0.33, 123.7, 3.6, 345.6, 241.2, 5932.2, 1086.3, 3091.1, 766.4, 45.6, 81.5, 46.5, 53.6, 771.5, 385.6, 1132.8, 317.2, 7.2, 4.8, 14.6, 5.4, 7.9, 3.7, 0.2, 2.2, 0.2, 2, 7.1, 15, 15.6, 37.3, 0.1, -0.2, 0.1, 0.3, 0.8, 0.7, -0.9, 0, 0.05, 0.94, 0.1, 63.8, 0.5, 1, 0.7, 80, 0.01, 0, 
12, eco3, 3, 540517, -444, 2699, 18299.8, 558.6, 158.3, 99.2, 325.2, 0.24, 167.3, 3.8, 470.3, 328.4, 8123.1, 1498.6, 2461.6, 716.7, 61.3, 107.3, 54.5, 63.8, 665.8, 383.9, 1127.8, 521.5, 9.9, 6.5, 20, 7.3, 6.5, 3.5, 0.3, 2.9, 0.3, 2.4, 8.3, 15.5, 22.4, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.4, 0, 0.05, 1.43, 0.11, 1.2, 0, 1.5, 0.9, 113.7, 0, 0, 
13, eco1, 1, 457557, 77.1, 4661.3, 6953.3, 212.5, 59.9, 38.4, 111.2, 0.93, 259.3, 5.2, 181.1, 126.6, 3086.8, 560.8, 2999.6, 619.6, 25.5, 52.2, 27.3, 32.9, 866.9, 580.5, 2034.3, 1179.5, 3.6, 2.3, 8, 2.8, 7.7, 3.1, 0.1, 1.4, 0.1, 1.1, 6, 36.4, 46.7, 139, 0, -0.2, 0, 0.1, 0.7, 1.9, -1.9, 0.1, 0.05, 0.53, 0.14, 36.7, 0.3, 1.1, 0.3, 231.8, 0.02, 0, 
