Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
10, eco1, 1, 457557, 55.4, 4425.9, 6910.9, 254.3, 71.4, 37.1, 119, 0.86, 256.9, 5.5, 180.3, 125.8, 3060.2, 551.5, 3102.6, 642.1, 21.8, 44.2, 23.9, 29.2, 801.1, 508.2, 1937.4, 1179.2, 3.6, 2.3, 7.9, 2.8, 8, 3.2, 0.1, 1.2, 0.1, 1, 5.1, 32.7, 49, 139, 0, -0.2, 0, 0.1, 0.7, 1.9, -1.8, 0.1, 0.05, 0.53, 0.12, 30.5, 0.2, 1.2, 0.3, 229.1, 0.01, 0, 
10, eco2, 2, 903912, -221.9, 2391.6, 12941.9, 455.7, 128.7, 70.4, 250.5, 0.32, 119, 3.8, 343.5, 239.6, 5734.2, 1048.3, 2973.9, 754.6, 39.3, 70.8, 40.1, 46.9, 716.3, 333.9, 1024.5, 316.9, 7.2, 4.7, 14.1, 5.2, 7.6, 3.7, 0.2, 1.9, 0.2, 1.7, 6.1, 13.2, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.8, 0.7, -1, 0, 0.05, 0.78, 0.09, 55.6, 0.4, 1, 0.7, 76.4, 0.01, 0, 
10, eco3, 3, 540517, -513.9, 2481.1, 17798.5, 637.2, 180.7, 97.6, 348.2, 0.24, 163, 4.2, 478.1, 333.8, 7879.3, 1454.9, 2279.4, 694.1, 53.3, 94.1, 48.1, 56.5, 586, 332.8, 1040.9, 521.3, 10.1, 6.6, 19.4, 7.1, 6, 3.4, 0.3, 2.5, 0.2, 2.1, 7.1, 13.8, 22.8, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.8, -0.3, 0, 0.05, 1.23, 0.1, 2.1, 0, 1.8, 0.9, 110.5, 0, 0, 
11, eco1, 1, 457557, 102.6, 4534.2, 6676.9, 235.9, 65.9, 38.7, 108.5, 0.88, 256.9, 6, 180.1, 125.6, 2954.9, 533.5, 2945.9, 615.1, 21.4, 44.2, 22.2, 27.9, 831.9, 543.1, 1979.8, 1179.3, 3.6, 2.3, 7.6, 2.7, 7.6, 3.1, 0.1, 1.2, 0.1, 1, 5.3, 34.9, 47.6, 139, 0, -0.2, 0, 0.1, 0.8, 2.2, -2.2, 0.1, 0.05, 0.55, 0.13, 13.1, 0.1, 1.3, 0.3, 230, 0.02, 0, 
11, eco2, 2, 903912, -162.6, 2580.6, 13031.3, 435.4, 122, 75, 237.8, 0.29, 121.1, 4.2, 352.7, 246, 5766.8, 1054.3, 2880.6, 733.7, 39.5, 72.4, 37.9, 45.2, 773.2, 371.7, 1118.6, 317.1, 7.4, 4.9, 14.2, 5.2, 7.4, 3.6, 0.2, 2, 0.2, 1.7, 6.7, 14.7, 15.5, 37.3, 0.1, -0.3, 0.1, 0.3, 1, 0.8, -1.2, 0, 0.05, 0.84, 0.09, 6.4, 0, 1.2, 0.7, 78.5, 0.01, 0, 
11, eco3, 3, 540517, -427.5, 2649.4, 18107.7, 598.3, 168.2, 104.7, 332.8, 0.22, 166.1, 4.7, 494.6, 345.2, 8008.6, 1479.7, 2350.5, 695.1, 54.9, 98.6, 49.4, 58.6, 645.8, 370.4, 1111.7, 521.4, 10.4, 6.8, 19.7, 7.2, 6.2, 3.4, 0.3, 2.6, 0.3, 2.2, 7.8, 15.1, 22.4, 61.4, 0.1, -0.3, 0.1, 0.4, 1.1, 0.9, -0.5, 0, 0.05, 1.37, 0.11, 1.7, 0, 1.9, 1, 112.4, 0, 0, 
12, eco1, 1, 457557, 74.4, 4616.8, 6497.1, 221.6, 61.6, 38.2, 105.4, 0.91, 257.1, 5.4, 177.4, 123.8, 2876.6, 519.8, 2821.3, 593.2, 22, 45.5, 22.2, 28, 850, 571.8, 2015.6, 1179.4, 3.6, 2.3, 7.4, 2.6, 7.3, 2.9, 0.1, 1.2, 0.1, 1, 5.5, 36.8, 46.4, 139, 0, -0.2, 0, 0.1, 0.7, 2.1, -2.1, 0.1, 0.05, 0.46, 0.1, 8.9, 0.1, 1.1, 0.3, 231, 0.02, 0, 
12, eco2, 2, 903912, -204.6, 2737.5, 13169.3, 439.3, 122.7, 77, 241.5, 0.29, 123.6, 3.9, 361.7, 252.3, 5825.2, 1064.8, 2826.2, 720.3, 41.7, 76.5, 38.8, 46.5, 814.6, 404.4, 1201.1, 317.4, 7.6, 5, 14.3, 5.3, 7.3, 3.5, 0.2, 2.1, 0.2, 1.7, 7.2, 16.1, 15.6, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.8, -1.2, 0, 0.05, 0.78, 0.07, 4.5, 0, 1.1, 0.7, 80.6, 0, 0, 
12, eco3, 3, 540517, -435.6, 2813.8, 18118.3, 608.3, 170.8, 106.8, 340.6, 0.25, 168.8, 4.7, 502.8, 350.8, 8009.5, 1481.4, 2498.8, 702.7, 57.4, 103.9, 52.4, 62.3, 699.7, 406.8, 1185.7, 521.6, 10.6, 6.9, 19.7, 7.2, 6.6, 3.4, 0.3, 2.8, 0.3, 2.3, 8.5, 16.5, 22.2, 61.4, 0.1, -0.4, 0.1, 0.4, 1.1, 0.9, -0.6, 0, 0.05, 1.2, 0.09, 17.1, 0.1, 1.8, 1, 114.4, 0, 0, 
13, eco1, 1, 457557, 96.5, 4685.8, 6442.5, 207.7, 57.9, 37.9, 103, 0.93, 257.2, 5.7, 175.1, 122.3, 2847, 514.8, 2664.6, 568.9, 22.1, 46, 21.6, 27.6, 859.7, 598.5, 2048, 1179.6, 3.5, 2.2, 7.4, 2.6, 6.9, 2.8, 0.1, 1.2, 0.1, 1, 5.7, 38.6, 45.3, 139, 0, -0.2, 0, 0.1, 0.8, 2.3, -2.2, 0.1, 0.05, 1.34, 0.26, 4.5, 0, 1.1, 0.3, 231.8, 0.02, 0, 
13, eco2, 2, 903912, -180.8, 2886, 13267.3, 432.5, 120.7, 78.9, 241.4, 0.25, 125.6, 4.2, 366.6, 255.8, 5863, 1071.8, 2776.2, 705.7, 43.1, 79.4, 39.5, 47.7, 848.2, 437, 1283.1, 317.7, 7.7, 5, 14.4, 5.3, 7.2, 3.4, 0.2, 2.1, 0.2, 1.7, 7.6, 17.4, 15.7, 37.3, 0.1, -0.3, 0.1, 0.3, 1, 0.9, -1.3, 0, 0.05, 1.86, 0.14, 6.7, 0, 1.1, 0.8, 82.6, 0, 0, 
13, eco3, 3, 540517, -379.5, 2974.7, 18408, 567.5, 159.8, 108.6, 331.8, 0.22, 171.5, 4.7, 509.1, 355.4, 8135.6, 1506.2, 2547.7, 704, 60.6, 109.3, 54.5, 64.8, 752.4, 441.4, 1259, 521.8, 10.7, 7, 20, 7.3, 6.7, 3.4, 0.3, 2.9, 0.3, 2.4, 9.1, 17.8, 22, 61.4, 0.1, -0.4, 0.1, 0.4, 1.2, 0.9, -0.7, 0, 0.04, 2.69, 0.18, 0.1, 0, 1.8, 1, 116.4, 0, 0, 
